"kanji","curPron","pos","nextPron","prevPron","curIndex","lastChar","onKun","oneChar","allKanji"
"遅","おく","verb","r","START","0","る","True","False","False"
"く","く","verb","END","u","2","く","True","False","False"
"り","り","noun","END","i","1","り","True","False","False"
"理","り","noun","END","u","1","KANJI","False","False","True"
"す","す","verb","END","a","1","す","True","False","False"
"字","じ","noun","END","i","1","KANJI","False","False","True"
"え","え","noun","END","a","3","え","True","False","False"
"せ","せ","noun","END","a","4","せ","True","False","False"
"仕","し","noun","END","u","1","KANJI","False","False","True"
"る","る","verb","END","i","2","る","True","False","False"
"衣","い","noun","r","START","0","KANJI","False","False","True"
"い","い","adjective","END","a","2","い","True","False","False"
"流","りゅう","noun","END","i","1","KANJI","False","False","True"
"蘇","よみがえ","verb","r","START","0","る","True","False","False"
"破","は","noun","END","u","1","KANJI","False","False","True"
"り","り","noun","END","a","1","り","True","False","False"
"水","すい","noun","d","START","0","KANJI","False","False","True"
"転","てん","noun","s","i","1","KANJI","False","False","True"
"親","しん","noun","END","u","1","KANJI","False","False","True"
"矛","む","noun","j","START","0","KANJI","False","False","True"
"州","す","noun","END","START","0","KANJI","True","True","True"
"成","せい","noun","k","START","0","KANJI","False","False","True"
"変","へん","noun","k","START","0","KANJI","False","False","True"
"点","てん","noun","END","n","1","KANJI","False","False","True"
"空","くう","noun","END","u","1","KANJI","False","False","True"
"お","お","noun","k","START","0","り","True","False","False"
"お","お","noun","k","START","0","KANJI","True","False","False"
"透","とう","noun","m","START","0","KANJI","False","False","True"
"毛","け","noun","i","START","0","KANJI","False","False","True"
"演","えん","noun","END","u","1","KANJI","False","False","True"
"取","と","verb","r","START","0","ぐ","True","False","False"
"召","め","verb","s","START","0","る","True","False","False"
"伝","でん","noun","END","n","1","KANJI","False","False","True"
"素","そ","noun","END","u","1","KANJI","False","False","True"
"公","こう","noun","s","START","0","KANJI","False","False","True"
"物","ぶつ","noun","END","u","1","KANJI","False","False","True"
"示","じ","noun","END","n","1","KANJI","False","False","True"
"貯","ちょ","noun","c","START","0","KANJI","False","False","True"
"社","しゃ","noun","END","u","1","KANJI","False","False","True"
"会","かい","noun","END","n","1","KANJI","False","False","True"
"庶","しょ","noun","m","START","0","KANJI","False","False","True"
"点","てん","noun","END","n","1","KANJI","False","False","True"
"重","かさ","verb","n","START","0","る","True","False","False"
"個","こ","noun","j","START","0","KANJI","False","False","True"
"貴","き","noun","z","START","0","KANJI","False","False","True"
"科","か","noun","END","n","3","KANJI","False","False","True"
"店","みせ","noun","y","START","0","KANJI","False","False","True"
"配","はい","noun","r","START","0","KANJI","False","False","True"
"飾","しょく","noun","END","u","1","KANJI","False","False","True"
"法","ほう","noun","END","u","1","KANJI","False","False","True"
"案","あん","noun","END","START","0","KANJI","True","True","True"
"片","かた","noun","m","START","0","KANJI","False","False","True"
"士","し","noun","END","n","1","KANJI","False","False","True"
"権","けん","noun","END","i","1","KANJI","False","False","True"
"る","る","verb","END","e","4","る","True","False","False"
"う","う","verb","END","a","1","う","True","False","False"
"複","ふく","noun","s","START","0","KANJI","False","False","True"
"名","めい","noun","y","START","0","KANJI","False","False","True"
"市","いち","noun","b","START","0","KANJI","False","False","True"
"今","いま","adjective","s","START","0","KANJI","False","False","True"
"分","ぶん","noun","END","n","1","KANJI","False","False","True"
"定","てい","noun","END","i","1","KANJI","False","False","True"
"張","は","verb","r","START","0","る","True","False","False"
"め","め","verb","r","a","2","る","True","False","False"
"更","こう","noun","END","n","1","KANJI","False","False","True"
"す","す","verb","END","a","3","す","True","False","False"
"空","くう","noun","k","START","0","KANJI","False","False","True"
"滑","すべ","verb","r","START","0","る","True","False","False"
"概","がい","noun","s","START","0","KANJI","False","False","True"
"当","あ","noun","t","START","0","て","True","False","False"
"調","ちょう","noun","s","START","0","KANJI","False","False","True"
"浴","よく","noun","END","i","2","KANJI","False","False","True"
"す","す","verb","END","o","1","す","True","False","False"
"止","や","verb","m","START","0","む","True","False","False"
"闇","やみ","noun","END","START","0","KANJI","True","True","True"
"通","つう","noun","END","u","1","KANJI","False","False","True"
"与","よ","noun","t","START","0","KANJI","False","False","True"
"消","しょう","noun","k","START","0","KANJI","False","False","True"
"曜","よう","noun","b","u","1","KANJI","False","False","True"
"尊","そん","noun","c","START","0","KANJI","False","False","True"
"目","め","noun","s","START","0","KANJI","False","False","True"
"出","で","verb","k","START","0","る","True","False","False"
"対","たい","noun","s","START","0","KANJI","False","False","True"
"道","どう","noun","END","i","1","KANJI","False","False","True"
"神","かみ","noun","s","START","0","KANJI","False","False","True"
"き","き","noun","END","u","1","き","True","False","False"
"訪","たず","verb","n","START","0","る","True","False","False"
"式","しき","noun","END","i","1","KANJI","False","False","True"
"え","え","verb","r","a","1","る","True","False","False"
"わ","わ","noun","s","a","1","せ","True","False","False"
"入","にゅう","noun","END","a","1","KANJI","False","False","True"
"土","ど","noun","y","START","0","KANJI","False","False","True"
"暑","あつ","adjective","i","i","2","い","True","False","False"
"季","き","noun","k","START","0","KANJI","False","False","True"
"秩","ちつ","noun","j","START","0","KANJI","False","False","True"
"一","いち","noun","j","START","0","KANJI","False","False","True"
"り","り","noun","END","o","1","り","True","False","False"
"び","び","noun","END","o","1","び","True","False","False"
"空","くう","noun","END","n","1","KANJI","False","False","True"
"繋","つな","noun","g","START","0","り","True","False","False"
"々","ゆう","adjective","END","u","1","KANJI","False","False","True"
"免","めん","interjection","END","o","1","KANJI","False","False","True"
"敵","てき","noun","END","START","0","KANJI","True","True","True"
"泊","と","verb","m","START","0","る","True","False","False"
"回","かい","noun","t","START","0","KANJI","False","False","True"
"中","ちゅう","noun","d","START","0","KANJI","False","False","True"
"生","き","noun","j","START","0","KANJI","False","False","True"
"っ","っ","adjective","t","i","1","い","True","False","False"
"る","る","verb","END","e","2","る","True","False","False"
"正","せい","noun","t","START","0","KANJI","False","False","True"
"台","だい","noun","d","START","0","KANJI","False","False","True"
"最","さい","noun","t","START","0","KANJI","False","False","True"
"新","しん","noun","j","START","0","KANJI","False","False","True"
"囀","さえず","verb","r","START","0","る","True","False","False"
"す","す","verb","END","a","2","す","True","False","False"
"要","い","verb","r","START","0","る","True","False","False"
"る","る","adjective","END","a","5","る","True","False","False"
"童","どう","noun","w","START","0","KANJI","False","False","True"
"水","ずい","noun","END","u","1","KANJI","False","False","True"
"寺","じ","noun","i","START","0","KANJI","False","False","True"
"籠","かご","noun","END","START","0","KANJI","True","True","True"
"枯","か","verb","r","START","0","る","True","False","False"
"定","てい","noun","END","i","1","KANJI","False","False","True"
"癖","くせ","noun","END","START","0","KANJI","True","True","True"
"偶","たま","adjective","n","START","0","に","True","False","False"
"む","む","verb","END","a","1","む","True","False","False"
"変","へん","noun","END","START","0","KANJI","True","True","True"
"る","る","verb","END","a","2","る","True","False","False"
"金","きん","noun","END","o","1","KANJI","False","False","True"
"警","けい","noun","k","START","0","KANJI","False","False","True"
"鎖","くさり","noun","END","START","0","KANJI","True","True","True"
"勤","つと","verb","m","START","0","る","True","False","False"
"げ","げ","verb","r","a","3","る","True","False","False"
"れ","れ","verb","r","i","1","る","True","False","False"
"る","る","verb","END","e","2","る","True","False","False"
"紅","こう","noun","c","START","0","KANJI","False","False","True"
"待","ま","verb","c","START","0","る","True","False","False"
"愛","あい","noun","s","START","0","KANJI","False","False","True"
"率","りつ","noun","END","i","1","KANJI","False","False","True"
"績","せき","noun","END","u","1","KANJI","False","False","True"
"い","い","noun","END","a","1","い","True","False","False"
"る","る","verb","END","o","1","る","True","False","False"
"不","ふ","noun","r","START","0","KANJI","False","False","True"
"部","ぶ","noun","END","START","0","KANJI","True","True","True"
"収","しゅう","noun","e","START","0","KANJI","False","False","True"
"志","し","noun","b","START","0","KANJI","False","False","True"
"用","よう","noun","END","i","1","KANJI","False","False","True"
"合","あ","verb","w","i","2","る","True","False","False"
"詞","し","noun","END","o","1","KANJI","False","False","True"
"戸","と","noun","d","START","0","KANJI","False","False","True"
"け","け","verb","r","u","3","る","True","False","False"
"き","き","noun","a","u","1","い","True","False","False"
"真","しん","noun","s","START","0","KANJI","False","False","True"
"ば","ば","adjective","END","e","2","ば","True","False","False"
"数","すう","noun","END","u","1","KANJI","False","False","True"
"年","ねん","noun","END","u","1","KANJI","False","False","True"
"味","み","noun","END","i","1","KANJI","False","False","True"
"量","りょう","noun","END","u","1","KANJI","False","False","True"
"以","い","noun","g","START","0","KANJI","False","False","True"
"る","る","verb","END","a","2","る","True","False","False"
"う","う","verb","END","a","2","う","True","False","False"
"争","あらそ","noun","i","START","0","い","True","False","False"
"ず","ず","verb","s","i","1","む","True","False","False"
"栄","さか","verb","e","START","0","る","True","False","False"
"要","よう","expression","s","START","0","に","True","False","False"
"触","しょく","noun","END","n","1","KANJI","False","False","True"
"る","る","verb","END","e","2","る","True","False","False"
"攻","せ","noun","m","START","0","め","True","False","False"
"水","すい","noun","h","START","0","KANJI","False","False","True"
"る","る","verb","END","e","2","る","True","False","False"
"月","げつ","noun","END","n","1","KANJI","False","False","True"
"避","ひ","noun","n","START","0","KANJI","False","False","True"
"応","おう","verb","j","START","0","る","True","False","False"
"酔","よ","noun","x","START","0","い","True","False","False"
"限","げん","noun","END","i","1","KANJI","False","False","True"
"る","る","verb","END","u","2","る","True","False","False"
"診","しん","noun","k","u","1","KANJI","False","False","True"
"生","う","verb","m","START","0","る","True","False","False"
"意","い","verb","k","START","0","む","True","False","False"
"ま","ま","expression","s","i","3","た","True","False","False"
"退","たい","noun","END","n","1","KANJI","False","False","True"
"抱","ぼう","noun","END","n","1","KANJI","False","False","True"
"名","めい","noun","END","i","1","KANJI","False","False","True"
"獣","じゅう","noun","END","i","1","KANJI","False","False","True"
"る","る","verb","END","e","4","る","True","False","False"
"代","だい","noun","m","START","0","KANJI","False","False","True"
"激","げき","noun","END","n","1","KANJI","False","False","True"
"殿","との","noun","s","START","0","KANJI","False","False","True"
"前","まえ","pronoun","END","e","1","KANJI","False","False","True"
"見","み","adjective","g","START","0","い","True","False","False"
"興","こう","noun","END","n","1","KANJI","False","False","True"
"現","げん","noun","z","START","0","KANJI","False","False","True"
"い","い","adjective","END","a","1","い","True","False","False"
"党","とう","noun","END","START","0","KANJI","True","True","True"
"々","てん","adjective","END","n","1","KANJI","False","False","True"
"め","め","noun","END","u","1","め","True","False","False"
"き","き","noun","END","o","1","き","True","False","False"
"話","わ","noun","END","i","1","KANJI","False","False","True"
"裏","うら","verb","g","START","0","る","True","False","False"
"下","か","noun","k","START","0","KANJI","False","False","True"
"速","そく","adjective","END","u","1","KANJI","False","False","True"
"り","り","adjective","n","a","2","い","True","False","False"
"漏","も","verb","r","START","0","す","True","False","False"
"く","く","verb","END","a","1","く","True","False","False"
"男","おとこ","expression","n","START","0","KANJI","True","False","False"
"非","ひ","noun","j","START","0","KANJI","False","False","True"
"気","き","noun","END","i","2","KANJI","False","False","True"
"期","き","noun","END","o","1","KANJI","False","False","True"
"乏","ぼう","noun","END","u","1","KANJI","False","False","True"
"然","ねん","noun","END","n","1","KANJI","False","False","True"
"違","ちが","noun","i","n","1","い","True","False","False"
"震","しん","noun","END","i","1","KANJI","False","False","True"
"尽","つ","verb","k","START","0","す","True","False","False"
"上","あ","verb","g","i","2","る","True","False","False"
"欠","けつ","noun","END","a","2","KANJI","False","False","True"
"る","る","verb","END","e","2","る","True","False","False"
"ぐ","ぐ","verb","END","u","1","ぐ","True","False","False"
"合","ごう","noun","k","START","0","KANJI","False","False","True"
"飛","と","verb","b","START","0","ぶ","True","False","False"
"大","だい","noun","END","u","1","KANJI","False","False","True"
"原","げん","noun","y","START","0","KANJI","False","False","True"
"巣","す","noun","END","START","0","KANJI","True","True","True"
"見","み","verb","n","START","0","す","True","False","False"
"り","り","noun","END","a","3","り","True","False","False"
"く","く","verb","END","i","1","く","True","False","False"
"演","えん","noun","END","u","1","KANJI","False","False","True"
"る","る","verb","END","a","2","る","True","False","False"
"箇","か","noun","s","START","0","KANJI","False","False","True"
"す","す","verb","END","a","2","す","True","False","False"
"必","かなら","adjective","z","START","0","ず","True","False","False"
"い","い","adjective","END","a","3","い","True","False","False"
"海","うみ","noun","j","START","0","KANJI","False","False","True"
"む","む","verb","END","a","1","む","True","False","False"
"無","む","noun","d","START","0","い","True","False","False"
"管","くだ","noun","END","START","0","KANJI","True","True","True"
"り","り","verb","k","o","1","む","True","False","False"
"え","え","verb","r","a","1","る","True","False","False"
"学","がく","noun","END","u","1","KANJI","False","False","True"
"い","い","verb","k","o","1","す","True","False","False"
"文","ぶん","noun","k","n","1","KANJI","False","False","True"
"根","こん","noun","END","i","1","KANJI","False","False","True"
"差","さ","verb","s","START","0","す","True","False","False"
"領","りょう","noun","END","n","1","KANJI","False","False","True"
"空","くう","noun","k","START","0","KANJI","False","False","True"
"る","る","verb","END","a","1","る","True","False","False"
"る","る","verb","END","u","2","る","True","False","False"
"作","さく","noun","s","START","0","KANJI","False","False","True"
"菓","か","noun","s","o","1","KANJI","True","False","False"
"沿","ぞ","-fix","i","START","0","い","True","False","False"
"ま","ま","verb","r","a","1","る","True","False","False"
"く","く","verb","END","a","1","く","True","False","False"
"ぎ","ぎ","noun","END","a","1","ぎ","True","False","False"
"替","か","noun","e","i","2","え","True","False","False"
"算","ざん","noun","END","i","2","KANJI","True","False","False"
"目","め","noun","END","e","2","KANJI","True","False","False"
"的","てき","noun","END","i","1","KANJI","False","False","True"
"着","ぎ","noun","END","a","1","KANJI","False","False","True"
"収","しゅう","noun","n","START","0","KANJI","False","False","True"
"大","だい","noun","j","START","0","KANJI","False","False","True"
"館","かん","noun","END","o","1","KANJI","False","False","True"
"名","めい","noun","END","i","1","KANJI","False","False","True"
"毛","もう","noun","f","START","0","KANJI","False","False","True"
"思","おも","noun","i","a","1","い","True","False","False"
"り","り","noun","g","i","2","KANJI","True","False","False"
"第","だい","noun","END","u","1","KANJI","False","False","True"
"消","しょう","noun","h","START","0","KANJI","False","False","True"
"酌","く","verb","m","START","0","む","True","False","False"
"紅","べに","noun","END","i","1","KANJI","False","False","True"
"園","えん","noun","END","i","2","KANJI","False","False","True"
"る","る","verb","END","o","1","る","True","False","False"
"る","る","verb","END","u","1","る","True","False","False"
"頼","らい","noun","END","i","1","KANJI","False","False","True"
"め","め","verb","r","a","1","る","True","False","False"
"席","せき","noun","END","u","1","KANJI","False","False","True"
"し","し","adjective","i","a","1","い","True","False","False"
"球","きゅう","noun","k","START","0","KANJI","False","False","True"
"襖","ふすま","noun","END","START","0","KANJI","True","True","True"
"努","つと","verb","m","START","0","る","True","False","False"
"実","じつ","noun","END","a","1","KANJI","False","False","True"
"心","しん","noun","r","START","0","KANJI","False","False","True"
"う","う","verb","END","a","1","う","True","False","False"
"成","な","adjective","r","START","0","く","True","False","False"
"悪","わる","noun","END","i","2","KANJI","False","False","True"
"口","くち","noun","b","START","0","KANJI","False","False","True"
"に","に","adjective","END","a","1","に","True","False","False"
"古","ふる","adjective","i","START","0","い","True","False","False"
"力","りょく","noun","END","u","1","KANJI","False","False","True"
"強","ごう","noun","i","START","0","KANJI","False","False","True"
"扇","せん","noun","p","START","0","KANJI","False","False","True"
"わ","わ","verb","r","a","1","る","True","False","False"
"間","かん","noun","END","i","1","KANJI","False","False","True"
"新","しん","noun","n","START","0","KANJI","False","False","True"
"手","しゅ","noun","g","START","0","KANJI","False","False","True"
"る","る","verb","END","e","2","る","True","False","False"
"具","ぐ","noun","END","a","1","KANJI","False","False","True"
"女","おんな","noun","n","START","0","KANJI","True","False","False"
"期","き","noun","END","u","1","KANJI","False","False","True"
"境","さかい","noun","END","START","0","KANJI","True","True","True"
"出","で","noun","END","e","1","KANJI","False","False","True"
"類","るい","noun","END","n","1","KANJI","False","False","True"
"改","あらた","verb","m","START","0","る","True","False","False"
"石","いし","noun","END","START","0","KANJI","True","True","True"
"性","せい","noun","END","n","1","KANJI","False","False","True"
"い","い","adjective","END","o","1","い","True","False","False"
"騒","さわ","noun","g","START","0","ぎ","True","False","False"
"お","お","noun","b","START","0","KANJI","True","False","False"
"呉","く","verb","r","START","0","る","True","False","False"
"押","お","verb","s","START","0","す","True","False","False"
"外","がい","noun","END","o","1","KANJI","False","False","True"
"人","じん","noun","END","o","1","KANJI","False","False","True"
"母","ぼ","noun","END","n","1","KANJI","False","False","True"
"る","る","verb","END","e","4","る","True","False","False"
"日","ひ","noun","k","START","0","KANJI","False","False","True"
"停","てい","noun","r","START","0","KANJI","False","False","True"
"互","ご","noun","END","u","1","KANJI","False","False","True"
"飛","と","verb","b","START","0","す","True","False","False"
"無","む","noun","n","START","0","KANJI","False","False","True"
"不","ふ","noun","t","START","0","KANJI","False","False","True"
"受","う","verb","k","START","0","る","True","False","False"
"物","もの","noun","END","i","1","KANJI","False","False","True"
"き","き","verb","r","a","1","る","True","False","False"
"等","ひと","adjective","s","START","0","い","True","False","False"
"れ","れ","noun","END","u","2","れ","True","False","False"
"記","き","noun","s","START","0","KANJI","False","False","True"
"接","せつ","noun","END","u","1","KANJI","False","False","True"
"強","きょう","noun","END","u","1","KANJI","False","False","True"
"物","ぶつ","noun","END","n","1","KANJI","False","False","True"
"祝","いわ","noun","i","o","1","い","True","False","False"
"蒸","む","verb","s","START","0","す","True","False","False"
"う","う","verb","END","o","1","う","True","False","False"
"生","せい","noun","END","u","2","KANJI","False","False","True"
"す","す","verb","END","a","2","す","True","False","False"
"つ","つ","verb","END","a","1","つ","True","False","False"
"意","い","noun","END","u","1","KANJI","False","False","True"
"転","てん","noun","k","START","0","KANJI","False","False","True"
"察","さつ","noun","END","i","1","KANJI","False","False","True"
"回","まわ","noun","r","START","0","り","True","False","False"
"し","し","adjective","i","a","1","い","True","False","False"
"炭","たん","noun","k","START","0","KANJI","False","False","True"
"掛","か","noun","k","u","2","け","True","False","False"
"激","げき","noun","r","START","0","KANJI","False","False","True"
"方","ほう","noun","s","START","0","KANJI","False","False","True"
"昇","しょう","noun","s","START","0","KANJI","False","False","True"
"素","す","noun","t","START","0","KANJI","False","False","True"
"招","しょう","noun","t","START","0","KANJI","False","False","True"
"可","か","noun","END","u","1","KANJI","False","False","True"
"痛","いた","adjective","i","START","0","い","True","False","False"
"則","そく","noun","END","i","2","KANJI","False","False","True"
"見","み","verb","t","START","0","る","True","False","False"
"理","り","noun","END","u","1","KANJI","False","False","True"
"突","つ","noun","k","START","0","り","True","False","False"
"蒔","ま","verb","k","START","0","く","True","False","False"
"砂","さ","noun","b","START","0","KANJI","False","False","True"
"壊","こわ","verb","s","START","0","す","True","False","False"
"孫","まご","noun","END","START","0","KANJI","True","True","True"
"認","にん","noun","s","START","0","KANJI","False","False","True"
"浮","う","verb","k","START","0","る","True","False","False"
"畜","ちく","noun","END","u","1","KANJI","False","False","True"
"平","へい","noun","j","START","0","KANJI","False","False","True"
"消","け","noun","s","START","0","ム","True","False","False"
"れ","れ","verb","r","o","1","る","True","False","False"
"ご","ご","verb","s","u","1","す","True","False","False"
"索","さく","noun","i","START","0","KANJI","False","False","True"
"号","ごう","noun","END","START","0","KANJI","True","True","True"
"要","よう","noun","END","u","1","KANJI","False","False","True"
"古","こ","noun","d","START","0","KANJI","False","False","True"
"台","だい","noun","END","n","1","KANJI","False","False","True"
"弱","じゃく","-fix","END","START","0","KANJI","True","True","True"
"見","み","noun","h","START","0","KANJI","False","False","True"
"不","ふ","noun","s","START","0","KANJI","False","False","True"
"連","つら","verb","n","START","0","る","True","False","False"
"々","われ","pronoun","END","e","1","KANJI","False","False","True"
"坊","ぼう","noun","END","e","1","KANJI","False","False","True"
"統","とう","noun","j","START","0","KANJI","False","False","True"
"点","てん","noun","END","i","1","KANJI","False","False","True"
"工","こう","noun","j","START","0","KANJI","False","False","True"
"売","ばい","noun","END","u","1","KANJI","False","False","True"
"杉","すぎ","noun","END","START","0","KANJI","True","True","True"
"荷","に","noun","m","START","0","KANJI","False","False","True"
"う","う","verb","END","o","1","う","True","False","False"
"ぐ","ぐ","verb","END","a","1","ぐ","True","False","False"
"車","しゃ","noun","END","i","1","KANJI","False","False","True"
"差","さ","verb","s","START","0","る","True","False","False"
"逃","とう","noun","s","START","0","KANJI","False","False","True"
"写","しゃ","noun","s","START","0","KANJI","False","False","True"
"呆","あき","verb","r","START","0","る","True","False","False"
"ち","ち","noun","END","a","2","ち","True","False","False"
"叶","かな","verb","u","START","0","う","True","False","False"
"近","きん","noun","s","START","0","KANJI","False","False","True"
"れ","れ","noun","END","a","1","れ","True","False","False"
"話","わ","noun","END","n","1","KANJI","False","False","True"
"黄","おう","noun","g","START","0","KANJI","False","False","True"
"丸","まる","noun","END","o","2","KANJI","True","False","False"
"調","ちょう","noun","w","START","0","KANJI","False","False","True"
"民","みん","noun","END","n","1","KANJI","False","False","True"
"取","と","verb","r","u","2","る","True","False","False"
"し","し","adjective","i","a","3","い","True","False","False"
"る","る","verb","END","u","1","る","True","False","False"
"力","りょく","noun","END","u","1","KANJI","False","False","True"
"偏","かたよ","verb","r","START","0","る","True","False","False"
"式","しき","noun","END","u","1","KANJI","False","False","True"
"凡","およ","adjective","s","START","0","そ","True","False","False"
"例","れい","noun","END","START","0","KANJI","True","True","True"
"停","てい","noun","s","START","0","KANJI","False","False","True"
"冷","ひ","verb","e","START","0","る","True","False","False"
"可","か","noun","k","START","0","KANJI","False","False","True"
"る","る","verb","END","e","2","る","True","False","False"
"援","えん","noun","END","u","1","KANJI","False","False","True"
"す","す","verb","END","o","1","す","True","False","False"
"週","しゅう","noun","END","u","1","KANJI","False","False","True"
"非","ひ","adjective","j","START","0","に","True","False","False"
"け","け","verb","r","u","3","る","True","False","False"
"短","たん","noun","s","START","0","KANJI","False","False","True"
"及","およ","verb","b","START","0","す","True","False","False"
"事","こと","noun","g","START","0","KANJI","False","False","True"
"説","せつ","noun","END","u","1","KANJI","False","False","True"
"団","だん","noun","END","i","1","KANJI","False","False","True"
"彩","さい","noun","END","i","1","KANJI","False","False","True"
"く","く","verb","END","i","1","く","True","False","False"
"何","なん","adjective","d","START","0","で","True","False","False"
"量","りょう","noun","END","i","1","KANJI","False","False","True"
"理","り","noun","END","n","1","KANJI","False","False","True"
"斜","しゃ","noun","END","i","1","KANJI","False","False","True"
"有","ゆう","noun","e","START","0","KANJI","False","False","True"
"温","おん","noun","d","START","0","KANJI","False","False","True"
"部","ぶ","noun","k","START","0","KANJI","False","False","True"
"能","のう","noun","END","a","2","KANJI","False","False","True"
"末","まつ","noun","END","u","1","KANJI","False","False","True"
"貝","かい","noun","END","START","0","KANJI","True","True","True"
"焼","や","noun","k","i","1","け","True","False","False"
"走","はし","verb","r","START","0","る","True","False","False"
"剥","は","verb","g","START","0","る","True","False","False"
"る","る","verb","END","i","2","る","True","False","False"
"暖","だん","noun","b","START","0","KANJI","False","False","True"
